
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 25 January 2017]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 super output area - lower layer","mnemonic","All households","Owned","Shared ownership (part owned and part rented)","Social rented","Private rented","Living rent free"
"Newham 003A","E01003578",601,151,6,104,326,14
"Newham 003B","E01003584",638,326,20,97,186,9
"Newham 003C","E01003586",509,226,3,55,220,5
"Newham 003D","E01003590",572,135,10,299,122,6
"Newham 004A","E01003579",499,204,9,95,179,12
"Newham 004B","E01003585",407,220,3,34,147,3
"Newham 004C","E01003587",823,237,19,236,318,13
"Newham 004D","E01003591",671,181,6,203,277,4
"Newham 005A","E01003528",431,117,0,243,65,6
"Newham 005B","E01003575",491,237,2,94,153,5
"Newham 005C","E01003577",673,104,15,445,97,12
"Newham 005D","E01003580",615,225,5,188,188,9
"Newham 006A","E01003545",644,165,20,276,178,5
"Newham 006B","E01003548",852,269,7,208,355,13
"Newham 006C","E01003549",790,211,36,275,262,6
"Newham 006D","E01003557",651,169,2,163,309,8
"Newham 007A","E01003547",699,390,2,129,170,8
"Newham 007B","E01003555",500,247,1,76,170,6
"Newham 007C","E01003561",481,237,1,43,198,2
"Newham 007D","E01003567",540,183,17,91,238,11
"Newham 008A","E01003556",629,134,11,258,219,7
"Newham 008B","E01003558",491,161,5,78,240,7
"Newham 008C","E01003570",585,238,2,85,249,11
"Newham 008D","E01003571",586,258,4,52,260,12
"Newham 008E","E01003572",446,209,5,58,171,3
"Newham 009A","E01003551",586,178,15,130,259,4
"Newham 009B","E01003553",733,141,7,325,251,9
"Newham 009C","E01003554",623,233,3,133,246,8
"Newham 009D","E01003559",1001,247,81,236,433,4
"Newham 010A","E01003529",597,299,4,47,238,9
"Newham 010B","E01003530",468,263,2,40,159,4
"Newham 010C","E01003531",516,200,3,113,192,8
"Newham 010D","E01003532",513,279,3,55,174,2
"Newham 010E","E01003534",643,301,2,52,276,12
"Newham 011A","E01003533",482,233,2,93,141,13
"Newham 011B","E01003560",448,252,4,32,156,4
"Newham 011C","E01003563",538,246,6,42,239,5
"Newham 011D","E01003588",454,215,2,66,169,2
"Newham 011E","E01003589",512,234,5,40,227,6
"Newham 012A","E01003616",658,153,12,226,257,10
"Newham 012B","E01003617",1103,187,49,407,448,12
"Newham 012C","E01003618",823,255,5,156,394,13
"Newham 012D","E01003619",1087,135,146,418,376,12
"Newham 013C","E01003615",643,181,2,212,240,8
"Newham 013E","E01033578",603,62,26,148,363,4
"Newham 013F","E01033579",618,84,36,129,366,3
"Newham 013G","E01033583",1205,258,68,369,501,9
"Newham 013H","E01033586",597,136,15,270,170,6
"Newham 014A","E01003562",576,279,3,46,243,5
"Newham 014B","E01003564",672,288,3,84,288,9
"Newham 014C","E01003565",496,189,6,62,232,7
"Newham 014D","E01003566",507,152,4,144,203,4
"Newham 015A","E01003625",484,191,8,89,190,6
"Newham 015B","E01003626",420,213,0,18,183,6
"Newham 015C","E01003627",432,218,2,46,162,4
"Newham 015D","E01003628",420,241,4,25,146,4
"Newham 015E","E01003629",481,202,2,32,237,8
"Newham 016A","E01003552",544,194,13,122,203,12
"Newham 016B","E01003596",577,210,5,152,205,5
"Newham 016C","E01003597",475,200,11,87,173,4
"Newham 016D","E01003635",611,275,2,112,213,9
"Newham 017A","E01003568",594,301,3,84,202,4
"Newham 017B","E01003569",509,195,1,51,257,5
"Newham 017C","E01003573",542,272,1,57,205,7
"Newham 017D","E01003574",798,305,5,161,314,13
"Newham 018A","E01003520",583,192,2,115,265,9
"Newham 018B","E01003521",623,214,3,54,346,6
"Newham 018C","E01003522",550,239,1,74,229,7
"Newham 018D","E01003525",519,218,1,54,238,8
"Newham 018E","E01003526",550,278,0,90,175,7
"Newham 019A","E01003488",669,113,3,438,99,16
"Newham 019B","E01003489",520,106,9,255,143,7
"Newham 019C","E01003490",539,208,10,115,199,7
"Newham 019D","E01003524",598,225,6,97,265,5
"Newham 020A","E01003631",727,197,4,243,278,5
"Newham 020B","E01003632",749,333,13,145,248,10
"Newham 020C","E01003633",685,96,0,499,77,13
"Newham 020D","E01003634",602,135,7,334,121,5
"Newham 020E","E01003636",702,147,17,347,183,8
"Newham 021A","E01003598",658,92,58,402,98,8
"Newham 021B","E01003600",690,148,3,397,126,16
"Newham 021C","E01003630",731,130,18,381,185,17
"Newham 021D","E01003637",593,217,9,147,212,8
"Newham 022A","E01003491",637,187,5,194,240,11
"Newham 022B","E01003592",555,238,4,150,156,7
"Newham 022C","E01003599",488,148,4,193,137,6
"Newham 022D","E01003606",675,293,10,128,236,8
"Newham 023A","E01003535",548,146,5,303,88,6
"Newham 023B","E01003536",598,282,5,120,182,9
"Newham 023C","E01003621",442,212,5,57,165,3
"Newham 023D","E01003622",496,173,1,149,169,4
"Newham 023E","E01003623",490,183,3,151,146,7
"Newham 024A","E01003523",669,274,5,196,190,4
"Newham 024B","E01003527",570,361,2,54,144,9
"Newham 024C","E01003537",668,371,5,100,183,9
"Newham 024D","E01003542",668,207,4,311,140,6
"Newham 024E","E01003624",493,207,5,169,107,5
"Newham 025A","E01003492",536,282,3,43,200,8
"Newham 025B","E01003493",732,295,8,138,281,10
"Newham 025C","E01003494",645,386,4,52,197,6
"Newham 025D","E01003495",650,443,5,38,162,2
"Newham 026A","E01003594",540,176,35,171,152,6
"Newham 026B","E01003595",581,130,5,297,143,6
"Newham 026C","E01003602",605,262,2,127,202,12
"Newham 026D","E01003607",560,156,22,206,173,3
"Newham 027A","E01003496",591,98,1,313,170,9
"Newham 027B","E01003498",674,151,3,327,185,8
"Newham 027C","E01003500",732,199,3,364,162,4
"Newham 027D","E01003593",559,134,12,285,120,8
"Newham 028A","E01003601",705,259,10,265,164,7
"Newham 028B","E01003603",624,346,5,75,194,4
"Newham 028C","E01003605",724,277,6,209,227,5
"Newham 028D","E01003608",714,391,10,76,231,6
"Newham 029A","E01003538",652,239,2,213,195,3
"Newham 029B","E01003539",681,342,5,136,191,7
"Newham 029C","E01003540",595,200,4,259,121,11
"Newham 029D","E01003541",570,302,5,106,155,2
"Newham 030A","E01003499",862,179,3,471,193,16
"Newham 030B","E01003501",715,227,1,279,199,9
"Newham 030C","E01003502",669,176,0,295,187,11
"Newham 030D","E01003503",647,99,30,413,99,6
"Newham 031A","E01003507",807,286,6,262,239,14
"Newham 031B","E01003508",555,149,4,223,172,7
"Newham 031C","E01003509",795,120,1,134,531,9
"Newham 031D","E01003604",785,276,13,265,226,5
"Newham 032A","E01003483",492,105,5,287,91,4
"Newham 032B","E01003484",566,226,25,56,254,5
"Newham 032C","E01003516",652,115,7,402,116,12
"Newham 032D","E01003518",588,307,9,92,175,5
"Newham 032E","E01003519",484,170,3,153,154,4
"Newham 033A","E01003480",662,184,11,254,207,6
"Newham 033B","E01003482",1033,298,63,261,401,10
"Newham 033C","E01003486",455,28,3,372,46,6
"Newham 033D","E01003487",424,65,11,274,67,7
"Newham 034A","E01003497",622,156,10,255,190,11
"Newham 034D","E01003506",489,108,2,273,97,9
"Newham 034F","E01033574",579,99,46,21,405,8
"Newham 034G","E01033575",545,58,28,30,425,4
"Newham 034H","E01033576",618,136,64,169,246,3
"Newham 034I","E01033584",564,86,18,369,86,5
"Newham 034J","E01033585",954,145,11,496,288,14
"Newham 035A","E01003479",612,235,6,118,249,4
"Newham 035B","E01003481",500,148,3,221,116,12
"Newham 035C","E01003485",560,248,3,92,212,5
"Newham 035D","E01003513",558,259,10,67,216,6
"Newham 036A","E01003511",452,71,4,312,51,14
"Newham 036B","E01003512",678,210,7,296,158,7
"Newham 036C","E01003514",532,126,6,288,109,3
"Newham 036D","E01003515",755,135,47,420,141,12
"Newham 036E","E01003517",605,149,47,291,115,3
"Newham 037A","E01003609",1058,225,15,410,396,12
"Newham 037C","E01003611",700,107,14,423,148,8
"Newham 037E","E01033577",608,156,3,143,299,7
"Newham 037F","E01033580",659,234,8,30,382,5
"Newham 037G","E01033581",714,173,16,315,203,7
"Newham 037H","E01033582",631,219,5,23,376,8
"Southwark 001A","E01004029",819,264,69,140,336,10
"Southwark 001B","E01004032",714,319,40,36,309,10
"Southwark 001C","E01004053",877,437,8,92,332,8
"Southwark 001D","E01004054",782,397,15,62,294,14
"Southwark 001E","E01004055",513,89,3,384,33,4
"Southwark 002A","E01003927",995,215,61,349,354,16
"Southwark 002B","E01003929",1074,255,32,355,415,17
"Southwark 002C","E01003934",811,244,12,331,193,31
"Southwark 002D","E01003935",451,86,4,256,100,5
"Southwark 002E","E01003939",836,196,30,270,324,16
"Southwark 003A","E01003976",916,205,6,430,266,9
"Southwark 003E","E01004027",993,205,14,432,330,12
"Southwark 003F","E01032637",641,244,5,5,367,20
"Southwark 003G","E01032638",653,323,2,9,312,7
"Southwark 003H","E01032640",672,288,0,5,359,20
"Southwark 003I","E01032646",737,217,11,155,341,13
"Southwark 003J","E01032803",658,207,25,84,332,10
"Southwark 003K","E01032834",666,280,0,22,348,16
"Southwark 004A","E01003975",667,95,42,441,82,7
"Southwark 004B","E01003978",908,254,26,337,285,6
"Southwark 004C","E01004022",1146,260,160,543,172,11
"Southwark 004D","E01004023",703,176,3,404,113,7
"Southwark 004E","E01004028",713,120,28,434,117,14
"Southwark 006A","E01003938",790,138,80,403,160,9
"Southwark 006B","E01003940",620,93,2,410,105,10
"Southwark 006C","E01003941",912,289,18,295,306,4
"Southwark 006D","E01003942",561,96,1,362,93,9
"Southwark 006E","E01003979",809,189,5,365,240,10
"Southwark 006F","E01003981",693,104,3,363,204,19
"Southwark 007A","E01004030",726,175,2,386,152,11
"Southwark 007B","E01004031",880,273,38,344,215,10
"Southwark 007C","E01004033",699,101,28,435,122,13
"Southwark 007D","E01004034",635,116,7,387,118,7
"Southwark 007E","E01004036",806,99,4,505,191,7
"Southwark 008A","E01004056",906,262,19,299,314,12
"Southwark 008B","E01004057",668,277,4,207,170,10
"Southwark 008C","E01004058",855,410,39,9,384,13
"Southwark 008D","E01004059",662,273,1,24,353,11
"Southwark 008E","E01004060",785,174,3,366,237,5
"Southwark 009A","E01003936",552,145,2,150,248,7
"Southwark 009B","E01003937",734,199,96,121,307,11
"Southwark 009C","E01003943",549,79,2,353,106,9
"Southwark 009F","E01032720",681,97,37,336,203,8
"Southwark 010A","E01003977",800,168,9,472,134,17
"Southwark 010B","E01004037",878,215,40,376,242,5
"Southwark 010C","E01004038",920,158,127,347,283,5
"Southwark 010D","E01004042",762,113,7,510,128,4
"Southwark 010E","E01004043",599,247,7,229,107,9
"Southwark 011A","E01003986",549,49,3,431,50,16
"Southwark 011B","E01003987",754,95,28,524,102,5
"Southwark 011C","E01004024",819,115,4,549,143,8
"Southwark 011D","E01004035",687,104,1,489,90,3
"Southwark 012A","E01003960",766,182,41,277,256,10
"Southwark 012B","E01003961",897,120,12,601,147,17
"Southwark 012E","E01003994",622,121,5,341,150,5
"Southwark 012F","E01032722",932,123,18,416,369,6
"Southwark 013A","E01003980",847,101,2,522,212,10
"Southwark 013B","E01004039",633,226,6,176,219,6
"Southwark 013C","E01004040",680,48,31,538,58,5
"Southwark 013D","E01004041",699,87,2,462,142,6
"Southwark 013E","E01004044",556,118,7,357,68,6
"Southwark 014A","E01003992",590,101,6,392,85,6
"Southwark 014B","E01003995",738,160,2,465,109,2
"Southwark 014D","E01003998",632,190,5,279,154,4
"Southwark 014E","E01003999",602,170,7,287,132,6
"Southwark 014F","E01032639",688,136,34,228,274,16
"Southwark 014G","E01032719",623,100,19,308,183,13
"Southwark 015A","E01003964",730,148,9,386,179,8
"Southwark 015B","E01003966",745,95,5,426,210,9
"Southwark 015C","E01003968",525,52,2,424,43,4
"Southwark 015D","E01003971",608,62,1,499,43,3
"Southwark 015E","E01003974",489,61,2,368,49,9
"Southwark 016A","E01003963",662,78,2,445,123,14
"Southwark 016B","E01003967",600,56,4,477,55,8
"Southwark 016C","E01003970",579,75,0,444,59,1
"Southwark 016D","E01003972",714,97,2,453,157,5
"Southwark 016E","E01003973",739,59,5,519,148,8
"Southwark 017A","E01003923",730,198,28,315,183,6
"Southwark 017B","E01003969",764,223,4,249,282,6
"Southwark 017C","E01003991",559,118,3,365,67,6
"Southwark 017D","E01003993",630,94,5,471,55,5
"Southwark 017E","E01003997",472,158,6,200,100,8
"Southwark 018A","E01003983",730,66,4,577,73,10
"Southwark 018B","E01003988",898,173,5,557,152,11
"Southwark 018C","E01003989",720,91,6,514,100,9
"Southwark 018D","E01003990",769,123,16,527,94,9
"Southwark 018E","E01004007",436,53,11,329,41,2
"Southwark 019A","E01003912",571,35,5,486,43,2
"Southwark 019B","E01004011",724,103,7,526,81,7
"Southwark 019C","E01004012",934,208,46,462,210,8
"Southwark 019D","E01004013",606,110,9,378,103,6
"Southwark 019E","E01004014",710,103,16,477,104,10
"Southwark 020A","E01003911",742,140,4,455,135,8
"Southwark 020B","E01003916",830,276,38,274,233,9
"Southwark 020C","E01003917",787,272,18,356,136,5
"Southwark 020D","E01003918",653,76,5,488,77,7
"Southwark 020E","E01003925",527,66,2,377,75,7
"Southwark 021A","E01003919",702,151,10,370,169,2
"Southwark 021B","E01003920",766,101,38,542,74,11
"Southwark 021C","E01003921",673,43,6,457,160,7
"Southwark 021D","E01003922",821,168,6,468,168,11
"Southwark 021E","E01003924",802,64,1,576,153,8
"Southwark 021F","E01003926",540,86,3,351,90,10
"Southwark 022B","E01004008",808,127,39,533,102,7
"Southwark 022D","E01004010",601,135,19,290,144,13
"Southwark 022E","E01004067",831,161,5,486,171,8
"Southwark 022F","E01032805",940,218,33,484,187,18
"Southwark 023A","E01003984",856,249,12,365,217,13
"Southwark 023B","E01004003",755,161,5,484,96,9
"Southwark 023C","E01004004",1069,322,49,433,251,14
"Southwark 023D","E01004005",882,134,21,567,158,2
"Southwark 023E","E01004006",772,294,5,271,192,10
"Southwark 024A","E01003913",800,310,16,218,239,17
"Southwark 024B","E01003914",722,312,3,223,170,14
"Southwark 024C","E01003915",811,241,6,438,124,2
"Southwark 024D","E01004050",652,334,8,88,216,6
"Southwark 024E","E01004052",798,350,18,200,223,7
"Southwark 025A","E01004061",772,358,7,190,205,12
"Southwark 025B","E01004062",830,211,72,299,233,15
"Southwark 025C","E01004063",847,373,9,266,193,6
"Southwark 025D","E01004065",625,318,1,129,165,12
"Southwark 025E","E01004066",844,258,40,386,152,8
"Southwark 026A","E01004000",839,307,4,328,189,11
"Southwark 026B","E01004001",718,142,11,485,70,10
"Southwark 026C","E01004019",912,317,49,362,177,7
"Southwark 026D","E01004064",808,200,3,428,168,9
"Southwark 026E","E01004068",829,195,59,463,100,12
"Southwark 027A","E01004045",601,82,3,457,51,8
"Southwark 027B","E01004047",607,130,0,386,85,6
"Southwark 027C","E01004048",645,285,6,231,118,5
"Southwark 027D","E01004049",507,118,15,290,83,1
"Southwark 027E","E01004051",613,394,1,96,108,14
"Southwark 028A","E01003953",980,381,5,286,293,15
"Southwark 028B","E01003955",822,403,13,192,205,9
"Southwark 028C","E01004015",690,351,2,154,175,8
"Southwark 028D","E01004021",1032,377,16,156,480,3
"Southwark 028E","E01004046",674,332,2,186,148,6
"Southwark 029A","E01004002",639,387,2,124,117,9
"Southwark 029B","E01004016",934,533,6,209,174,12
"Southwark 029C","E01004017",627,383,3,92,148,1
"Southwark 029D","E01004020",730,194,7,412,107,10
"Southwark 030A","E01003952",692,372,0,100,211,9
"Southwark 030B","E01003954",670,402,1,111,154,2
"Southwark 030C","E01003956",720,424,3,103,180,10
"Southwark 030D","E01004071",663,294,5,234,119,11
"Southwark 030E","E01004072",617,432,6,64,112,3
"Southwark 031A","E01004069",497,394,0,32,67,4
"Southwark 031B","E01004070",779,451,0,176,143,9
"Southwark 031C","E01004073",736,449,2,89,187,9
"Southwark 031D","E01004074",631,468,0,58,99,6
"Southwark 031E","E01004075",657,485,0,58,105,9
"Southwark 032A","E01003949",871,462,9,133,264,3
"Southwark 032B","E01003950",798,233,9,404,146,6
"Southwark 032C","E01003957",714,404,4,133,172,1
"Southwark 032D","E01003958",699,387,3,148,152,9
"Southwark 032E","E01004018",780,509,5,56,197,13
"Southwark 033A","E01003945",730,462,21,121,116,10
"Southwark 033B","E01003946",726,422,9,145,135,15
"Southwark 033C","E01003947",612,134,5,390,74,9
"Southwark 033D","E01003948",742,424,18,87,209,4
"Southwark 033E","E01003951",571,363,3,93,98,14
"Southwark 034A","E01003930",458,103,1,211,131,12
"Southwark 034B","E01003932",651,129,18,337,155,12
"Southwark 034C","E01003933",537,164,9,217,123,24
"Southwark 034D","E01032583",644,129,0,320,184,11
"Southwark 034E","E01032584",577,163,3,277,123,11
"Tower Hamlets 001A","E01004222",1048,211,11,637,175,14
"Tower Hamlets 001B","E01004223",938,139,5,645,146,3
"Tower Hamlets 001C","E01004224",806,141,30,369,261,5
"Tower Hamlets 001D","E01004226",676,155,23,334,160,4
"Tower Hamlets 002A","E01004197",964,176,42,422,317,7
"Tower Hamlets 002B","E01004198",606,90,8,378,125,5
"Tower Hamlets 002C","E01004199",574,69,4,408,89,4
"Tower Hamlets 002D","E01004201",619,143,7,324,135,10
"Tower Hamlets 003A","E01004228",769,268,36,264,189,12
"Tower Hamlets 003B","E01004230",803,224,6,347,218,8
"Tower Hamlets 003C","E01004232",603,271,5,100,224,3
"Tower Hamlets 003D","E01004233",751,179,0,431,137,4
"Tower Hamlets 003E","E01004234",903,365,6,238,278,16
"Tower Hamlets 004A","E01004225",1147,443,69,114,507,14
"Tower Hamlets 004C","E01004229",551,169,14,221,143,4
"Tower Hamlets 004D","E01004231",629,105,10,351,150,13
"Tower Hamlets 004E","E01032764",643,103,23,253,252,12
"Tower Hamlets 004F","E01032765",645,106,53,305,172,9
"Tower Hamlets 004G","E01032784",692,194,4,166,324,4
"Tower Hamlets 005A","E01004200",585,128,9,115,328,5
"Tower Hamlets 005B","E01004202",713,220,15,218,255,5
"Tower Hamlets 005C","E01004203",689,198,1,226,256,8
"Tower Hamlets 005D","E01004204",631,139,1,382,101,8
"Tower Hamlets 006A","E01004311",644,144,6,353,132,9
"Tower Hamlets 006B","E01004314",493,253,0,89,147,4
"Tower Hamlets 006C","E01004315",718,197,4,324,188,5
"Tower Hamlets 006D","E01004318",630,90,11,399,125,5
"Tower Hamlets 007A","E01004259",812,251,20,257,281,3
"Tower Hamlets 007B","E01004260",636,167,19,311,131,8
"Tower Hamlets 007C","E01004263",529,88,5,333,93,10
"Tower Hamlets 007D","E01004266",583,172,6,265,131,9
"Tower Hamlets 008A","E01004235",513,60,0,363,82,8
"Tower Hamlets 008B","E01004236",497,73,14,299,105,6
"Tower Hamlets 008C","E01004237",506,101,39,241,120,5
"Tower Hamlets 008D","E01004238",1058,155,33,486,362,22
"Tower Hamlets 008E","E01004239",533,100,16,341,70,6
"Tower Hamlets 009A","E01004312",628,94,1,386,138,9
"Tower Hamlets 009B","E01004313",812,187,12,349,255,9
"Tower Hamlets 009C","E01004316",455,100,1,235,115,4
"Tower Hamlets 009D","E01004317",1193,290,24,283,588,8
"Tower Hamlets 010A","E01004261",550,83,3,253,204,7
"Tower Hamlets 010B","E01004262",495,113,5,228,144,5
"Tower Hamlets 010C","E01004264",457,106,1,240,105,5
"Tower Hamlets 010E","E01032785",616,193,47,200,172,4
"Tower Hamlets 010F","E01032786",674,166,10,374,121,3
"Tower Hamlets 011A","E01004207",515,95,4,293,116,7
"Tower Hamlets 011B","E01004209",466,58,2,324,77,5
"Tower Hamlets 011D","E01004212",720,156,16,284,257,7
"Tower Hamlets 011F","E01032787",793,154,4,427,194,14
"Tower Hamlets 012A","E01004240",574,109,8,348,101,8
"Tower Hamlets 012B","E01004241",570,67,17,370,112,4
"Tower Hamlets 012C","E01004242",898,134,28,428,292,16
"Tower Hamlets 012D","E01004267",707,167,1,281,242,16
"Tower Hamlets 012E","E01004268",688,74,0,430,178,6
"Tower Hamlets 013A","E01004205",688,87,14,409,169,9
"Tower Hamlets 013B","E01004206",554,83,3,333,125,10
"Tower Hamlets 013C","E01004208",788,267,6,101,406,8
"Tower Hamlets 013D","E01004211",720,214,6,186,307,7
"Tower Hamlets 014A","E01004269",726,142,2,377,201,4
"Tower Hamlets 014B","E01004270",745,233,9,167,329,7
"Tower Hamlets 014C","E01004271",548,71,1,365,102,9
"Tower Hamlets 014D","E01004272",639,86,9,429,111,4
"Tower Hamlets 014E","E01004273",594,86,1,411,90,6
"Tower Hamlets 015A","E01004306",687,199,6,192,277,13
"Tower Hamlets 015B","E01004307",1014,286,10,166,539,13
"Tower Hamlets 015C","E01004308",504,189,2,177,130,6
"Tower Hamlets 015D","E01004309",902,178,27,394,297,6
"Tower Hamlets 015E","E01004310",793,150,5,315,316,7
"Tower Hamlets 016A","E01004283",756,154,5,396,181,20
"Tower Hamlets 016B","E01004287",854,196,27,440,179,12
"Tower Hamlets 016C","E01004289",670,172,8,323,158,9
"Tower Hamlets 016D","E01004290",575,172,3,155,237,8
"Tower Hamlets 017A","E01004322",502,108,5,248,138,3
"Tower Hamlets 017B","E01004323",480,137,3,178,154,8
"Tower Hamlets 017C","E01004324",485,139,2,240,97,7
"Tower Hamlets 017D","E01004326",623,120,23,242,232,6
"Tower Hamlets 018A","E01004245",433,60,4,308,57,4
"Tower Hamlets 018B","E01004246",747,306,73,187,172,9
"Tower Hamlets 018C","E01004248",441,41,0,320,73,7
"Tower Hamlets 018D","E01004249",758,113,27,476,135,7
"Tower Hamlets 019A","E01004284",884,70,176,524,103,11
"Tower Hamlets 019B","E01004285",658,104,7,443,94,10
"Tower Hamlets 019C","E01004286",817,171,67,464,104,11
"Tower Hamlets 019D","E01004288",525,80,16,354,70,5
"Tower Hamlets 020A","E01004243",614,108,7,363,128,8
"Tower Hamlets 020B","E01004244",686,121,5,422,131,7
"Tower Hamlets 020C","E01004247",714,114,8,363,225,4
"Tower Hamlets 020D","E01004250",866,95,41,583,138,9
"Tower Hamlets 021A","E01004319",595,125,3,236,225,6
"Tower Hamlets 021C","E01004321",711,95,23,403,184,6
"Tower Hamlets 021D","E01004325",1033,182,15,168,657,11
"Tower Hamlets 021E","E01032766",601,115,48,137,293,8
"Tower Hamlets 021F","E01032767",767,168,2,54,534,9
"Tower Hamlets 022A","E01004298",635,88,27,365,148,7
"Tower Hamlets 022B","E01004300",522,98,1,327,87,9
"Tower Hamlets 022C","E01004304",653,93,62,345,144,9
"Tower Hamlets 022D","E01004305",699,143,7,384,156,9
"Tower Hamlets 023A","E01004251",779,199,2,422,154,2
"Tower Hamlets 023B","E01004254",1046,413,11,73,542,7
"Tower Hamlets 023C","E01004255",647,126,33,310,172,6
"Tower Hamlets 023D","E01004258",713,295,3,179,219,17
"Tower Hamlets 024A","E01004252",1107,197,65,488,349,8
"Tower Hamlets 024B","E01004253",829,175,5,499,139,11
"Tower Hamlets 024C","E01004256",611,128,3,328,142,10
"Tower Hamlets 024D","E01004257",618,114,2,318,176,8
"Tower Hamlets 025B","E01004301",413,117,1,189,97,9
"Tower Hamlets 025C","E01004302",637,104,73,311,141,8
"Tower Hamlets 025D","E01004303",967,233,53,411,250,20
"Tower Hamlets 025E","E01032768",696,242,12,54,381,7
"Tower Hamlets 025F","E01032769",593,210,1,97,275,10
"Tower Hamlets 026A","E01004292",818,397,9,48,351,13
"Tower Hamlets 026B","E01004294",877,292,44,221,311,9
"Tower Hamlets 026C","E01004295",500,91,2,291,106,10
"Tower Hamlets 026D","E01004296",684,172,9,293,201,9
"Tower Hamlets 027A","E01004291",1051,469,29,127,411,15
"Tower Hamlets 027B","E01004293",1133,506,4,143,466,14
"Tower Hamlets 027C","E01004297",909,455,7,89,346,12
"Tower Hamlets 028A","E01004215",1168,315,16,341,476,20
"Tower Hamlets 028B","E01004219",851,129,53,418,246,5
"Tower Hamlets 028D","E01004221",802,219,33,220,317,13
"Tower Hamlets 028E","E01032776",631,115,13,65,430,8
"Tower Hamlets 028F","E01032777",514,119,57,154,182,2
"Tower Hamlets 028G","E01032778",564,121,16,86,332,9
"Tower Hamlets 028H","E01032779",565,89,18,93,359,6
"Tower Hamlets 028I","E01032780",647,238,3,20,375,11
"Tower Hamlets 030A","E01004214",665,64,5,502,89,5
"Tower Hamlets 030B","E01004216",737,247,4,170,309,7
"Tower Hamlets 030C","E01004217",779,261,5,293,203,17
"Tower Hamlets 030D","E01004218",731,328,11,116,262,14
"Tower Hamlets 031A","E01004274",654,151,2,290,203,8
"Tower Hamlets 031B","E01004275",768,257,33,179,288,11
"Tower Hamlets 031C","E01004276",996,431,4,12,534,15
"Tower Hamlets 031D","E01004281",831,283,2,59,480,7
"Tower Hamlets 031F","E01032775",600,202,2,44,342,10
"Tower Hamlets 031G","E01032783",661,162,15,173,296,15
"Tower Hamlets 032A","E01004280",769,207,17,277,257,11
"Tower Hamlets 032B","E01032770",572,118,14,153,267,20
"Tower Hamlets 032C","E01032772",544,92,14,148,284,6
"Tower Hamlets 032D","E01032773",852,204,42,217,374,15
"Tower Hamlets 032E","E01032774",583,94,7,255,219,8
"Tower Hamlets 033A","E01004277",898,309,1,26,547,15
"Tower Hamlets 033B","E01032771",546,111,33,115,283,4
"Tower Hamlets 033C","E01032781",771,248,11,78,425,9
"Tower Hamlets 033D","E01032782",776,111,49,199,403,14
"Wandsworth 001A","E01004560",959,442,21,132,349,15
"Wandsworth 001B","E01004566",821,391,2,92,321,15
"Wandsworth 001C","E01004582",976,552,5,78,314,27
"Wandsworth 001D","E01004583",876,445,25,134,256,16
"Wandsworth 002B","E01004562",754,201,6,374,166,7
"Wandsworth 002C","E01004563",879,176,46,369,279,9
"Wandsworth 002D","E01004564",820,299,4,254,259,4
"Wandsworth 002E","E01004567",982,178,71,506,217,10
"Wandsworth 002F","E01033098",629,206,73,44,300,6
"Wandsworth 002G","E01033100",612,144,3,245,210,10
"Wandsworth 002H","E01033132",619,145,88,154,222,10
"Wandsworth 003A","E01004539",800,165,4,514,111,6
"Wandsworth 003B","E01004540",1002,376,13,386,218,9
"Wandsworth 003C","E01004577",907,369,16,188,322,12
"Wandsworth 003D","E01004584",703,94,2,505,94,8
"Wandsworth 004B","E01004579",744,339,2,232,163,8
"Wandsworth 004C","E01004580",892,336,9,149,389,9
"Wandsworth 004D","E01004581",892,382,18,164,317,11
"Wandsworth 004E","E01033099",456,147,52,118,133,6
"Wandsworth 004F","E01033101",663,342,7,15,290,9
"Wandsworth 004G","E01033133",636,217,39,105,269,6
"Wandsworth 005A","E01004565",815,276,3,251,279,6
"Wandsworth 005B","E01004590",807,275,4,361,160,7
"Wandsworth 005C","E01004591",811,275,7,263,258,8
"Wandsworth 005D","E01004592",795,246,3,402,134,10
"Wandsworth 006A","E01004604",593,456,0,13,116,8
"Wandsworth 006B","E01004605",785,454,3,156,166,6
"Wandsworth 006C","E01004606",754,395,1,23,328,7
"Wandsworth 006D","E01004607",718,463,2,26,215,12
"Wandsworth 006E","E01004608",785,373,0,157,247,8
"Wandsworth 007A","E01004535",731,98,12,516,98,7
"Wandsworth 007B","E01004537",799,174,2,477,139,7
"Wandsworth 007C","E01004538",909,248,81,377,198,5
"Wandsworth 007D","E01004541",762,175,5,461,116,5
"Wandsworth 008A","E01004534",825,432,3,115,261,14
"Wandsworth 008B","E01004536",928,249,5,331,332,11
"Wandsworth 008C","E01004552",913,345,7,70,480,11
"Wandsworth 008D","E01004585",858,403,3,147,301,4
"Wandsworth 008E","E01004588",858,407,3,74,363,11
"Wandsworth 009A","E01004554",653,422,2,36,192,1
"Wandsworth 009B","E01004556",590,406,1,30,149,4
"Wandsworth 009C","E01004586",848,394,3,94,354,3
"Wandsworth 009D","E01004587",735,426,3,75,226,5
"Wandsworth 009E","E01004589",706,384,4,37,277,4
"Wandsworth 010A","E01004509",1122,452,9,141,508,12
"Wandsworth 010B","E01004511",712,379,1,28,301,3
