
"KS403EW - Rooms, bedrooms and central heating"
"ONS Crown Copyright Reserved [from Nomis on 25 January 2017]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 super output area - lower layer","mnemonic","All categories: Type of central heating in household","Does not have central heating","Does have central heating","Occupancy rating (rooms) of -1 or less","Occupancy rating (bedrooms) of -1 or less","Average household size","Average number of rooms per household","Average number of bedrooms per household"
"Southwark 002E","E01003939",836,29,807,351,124,2.2,3.5,2.0
"Southwark 003A","E01003976",916,28,888,297,140,2.1,3.6,1.9
"Southwark 003E","E01004027",993,29,964,328,138,2.1,3.6,1.9
"Southwark 003F","E01032637",641,47,594,198,38,1.7,3.2,1.5
"Southwark 003G","E01032638",653,39,614,149,35,1.8,3.7,1.9
"Southwark 003H","E01032640",672,31,641,149,52,1.9,3.7,1.7
"Southwark 003I","E01032646",737,17,720,265,101,2.1,3.5,1.9
"Southwark 003J","E01032803",658,37,621,256,91,2.0,3.4,1.8
"Southwark 003K","E01032834",666,59,607,148,38,1.7,3.5,1.7
"Southwark 004A","E01003975",667,13,654,224,120,2.4,3.9,2.1
"Southwark 004B","E01003978",908,46,862,351,134,2.0,3.4,1.8
"Southwark 004C","E01004022",1146,22,1124,401,123,2.2,3.8,2.0
"Southwark 004D","E01004023",703,23,680,156,89,2.2,4.2,2.1
"Southwark 004E","E01004028",713,13,700,230,132,2.3,3.8,1.9
"Southwark 006A","E01003938",790,14,776,335,139,2.3,3.6,1.9
"Southwark 006B","E01003940",620,8,612,217,123,2.4,4.0,2.1
"Southwark 006C","E01003941",912,17,895,345,131,2.1,3.7,1.9
"Southwark 006D","E01003942",561,9,552,173,98,2.5,4.1,2.2
"Southwark 006E","E01003979",809,38,771,233,128,2.1,3.7,1.8
"Southwark 006F","E01003981",693,19,674,276,107,2.1,3.5,1.9
"Southwark 007A","E01004030",726,30,696,219,67,2.0,3.8,2.0
"Southwark 007B","E01004031",880,30,850,263,117,2.3,4.0,2.2
"Southwark 007C","E01004033",699,10,689,217,110,2.2,3.8,1.9
"Southwark 007D","E01004034",635,15,620,187,117,2.4,4.0,2.2
"Southwark 007E","E01004036",806,33,773,286,180,2.5,3.9,2.0
"Southwark 008A","E01004056",906,40,866,230,89,2.3,4.0,2.2
"Southwark 008B","E01004057",668,17,651,151,74,2.2,4.1,2.2
"Southwark 008C","E01004058",855,73,782,162,68,2.0,3.8,1.9
"Southwark 008D","E01004059",662,58,604,188,70,2.2,4.1,2.3
"Southwark 008E","E01004060",785,59,726,263,118,2.3,3.9,2.1
"Southwark 009A","E01003936",552,35,517,118,61,2.2,4.1,2.2
"Southwark 009B","E01003937",734,66,668,322,102,2.1,3.5,2.0
"Southwark 009C","E01003943",549,5,544,200,121,2.5,3.9,2.2
"Southwark 009F","E01032720",681,36,645,293,143,2.4,3.6,2.0
"Southwark 010A","E01003977",800,33,767,206,119,2.1,3.8,1.9
"Southwark 010B","E01004037",878,48,830,334,170,2.2,3.5,1.8
"Southwark 010C","E01004038",920,36,884,324,176,2.5,3.9,2.1
"Southwark 010D","E01004042",762,27,735,187,116,2.2,4.1,2.2
"Southwark 010E","E01004043",599,21,578,104,57,2.3,4.3,2.4
"Southwark 011A","E01003986",549,10,539,141,98,2.2,3.9,2.0
"Southwark 011B","E01003987",754,6,748,202,119,2.4,4.1,2.1
"Southwark 011C","E01004024",819,11,808,247,165,2.2,3.9,2.0
"Southwark 011D","E01004035",687,11,676,198,116,2.3,3.9,2.1
"Southwark 012A","E01003960",766,39,727,255,122,2.4,4.1,2.2
"Southwark 012B","E01003961",897,32,865,282,178,2.3,3.8,2.0
"Southwark 012E","E01003994",622,15,607,233,117,2.4,4.0,2.2
"Southwark 012F","E01032722",932,27,905,271,160,2.3,4.0,2.1
"Southwark 013A","E01003980",847,22,825,224,137,2.2,3.9,2.0
"Southwark 013B","E01004039",633,56,577,207,116,2.5,3.9,2.1
"Southwark 013C","E01004040",680,17,663,308,177,2.6,3.7,2.0
"Southwark 013D","E01004041",699,34,665,273,134,2.4,3.6,1.9
"Southwark 013E","E01004044",556,15,541,160,107,2.5,4.1,2.1
"Southwark 014A","E01003992",590,25,565,188,120,2.5,4.2,2.3
"Southwark 014B","E01003995",738,31,707,201,113,1.9,3.5,1.6
"Southwark 014D","E01003998",632,26,606,159,66,2.1,4.2,2.2
"Southwark 014E","E01003999",602,30,572,194,97,2.4,4.1,2.2
"Southwark 014F","E01032639",688,33,655,319,109,2.2,3.5,2.0
"Southwark 014G","E01032719",623,12,611,285,127,1.9,3.2,1.6
"Southwark 015A","E01003964",730,33,697,213,121,2.6,4.4,2.4
"Southwark 015B","E01003966",745,29,716,264,168,2.6,4.1,2.2
"Southwark 015C","E01003968",525,10,515,192,143,2.7,4.1,2.3
"Southwark 015D","E01003971",608,12,596,236,174,3.0,4.3,2.3
"Southwark 015E","E01003974",489,15,474,162,111,2.6,4.0,2.1
"Southwark 016A","E01003963",662,16,646,237,156,2.5,3.9,2.1
"Southwark 016B","E01003967",600,11,589,278,201,2.8,3.9,2.1
"Southwark 016C","E01003970",579,23,556,193,124,2.6,4.1,2.2
"Southwark 016D","E01003972",714,25,689,256,162,2.3,3.7,1.9
"Southwark 016E","E01003973",739,19,720,239,148,2.2,3.8,1.9
"Southwark 017A","E01003923",730,16,714,237,126,2.4,4.1,2.2
"Southwark 017B","E01003969",764,43,721,228,130,2.4,4.3,2.4
"Southwark 017C","E01003991",559,13,546,137,93,2.2,4.0,2.1
"Southwark 017D","E01003993",630,10,620,218,149,2.7,4.1,2.4
"Southwark 017E","E01003997",472,19,453,131,68,2.6,4.6,2.5
"Southwark 018A","E01003983",730,22,708,256,190,2.8,4.2,2.3
"Southwark 018B","E01003988",898,36,862,328,203,2.4,3.8,2.0
"Southwark 018C","E01003989",720,12,708,282,171,2.7,4.0,2.2
"Southwark 018D","E01003990",769,17,752,258,183,2.8,4.2,2.4
"Southwark 018E","E01004007",436,7,429,151,116,2.9,4.4,2.4
"Southwark 019A","E01003912",571,14,557,228,161,2.8,3.9,2.1
"Southwark 019B","E01004011",724,13,711,323,211,2.9,4.1,2.2
"Southwark 019C","E01004012",934,20,914,411,209,2.7,3.8,2.2
"Southwark 019D","E01004013",606,7,599,249,163,2.7,4.0,2.2
"Southwark 019E","E01004014",710,15,695,320,178,2.4,3.6,2.0
"Southwark 020A","E01003911",742,44,698,283,162,2.7,4.1,2.3
"Southwark 020B","E01003916",830,51,779,274,139,2.5,4.2,2.3
"Southwark 020C","E01003917",787,20,767,231,118,2.2,4.1,2.0
"Southwark 020D","E01003918",653,22,631,239,134,2.5,3.9,2.1
"Southwark 020E","E01003925",527,23,504,159,80,2.4,4.0,2.1
"Southwark 021A","E01003919",702,19,683,207,115,2.4,4.3,2.3
"Southwark 021B","E01003920",766,24,742,283,155,2.4,3.8,2.0
"Southwark 021C","E01003921",673,19,654,228,117,2.0,3.6,1.7
"Southwark 021D","E01003922",821,23,798,291,179,2.3,3.8,2.0
"Southwark 021E","E01003924",802,25,777,387,228,2.4,3.4,1.7
"Southwark 021F","E01003926",540,15,525,180,104,2.6,4.3,2.4
"Southwark 022B","E01004008",808,23,785,257,170,2.6,4.2,2.3
"Southwark 022D","E01004010",601,11,590,210,150,2.5,3.9,2.0
"Southwark 022E","E01004067",831,42,789,342,199,2.6,4.0,2.2
"Southwark 022F","E01032805",940,20,920,338,195,2.7,4.2,2.3
"Southwark 023A","E01003984",856,21,835,276,155,2.3,4.0,2.1
"Southwark 023B","E01004003",755,9,746,225,154,2.3,3.9,2.0
"Southwark 023C","E01004004",1069,24,1045,371,207,2.3,3.9,2.1
"Southwark 023D","E01004005",882,35,847,344,209,2.4,3.7,1.9
"Southwark 023E","E01004006",772,22,750,213,146,2.5,4.3,2.3
"Southwark 024A","E01003913",800,15,785,196,86,2.3,4.6,2.4
"Southwark 024B","E01003914",722,22,700,155,89,2.5,4.7,2.5
"Southwark 024C","E01003915",811,21,790,262,185,2.4,4.1,2.2
"Southwark 024D","E01004050",652,51,601,146,61,2.3,4.7,2.4
"Southwark 024E","E01004052",798,14,784,116,69,2.2,4.5,2.3
"Southwark 025A","E01004061",772,18,754,166,79,2.3,4.6,2.4
"Southwark 025B","E01004062",830,25,805,286,140,2.3,3.9,2.1
"Southwark 025C","E01004063",847,23,824,189,116,2.3,4.4,2.2
"Southwark 025D","E01004065",625,19,606,91,59,2.4,4.7,2.5
"Southwark 025E","E01004066",844,7,837,237,137,2.6,4.4,2.3
"Southwark 026A","E01004000",839,30,809,214,128,2.2,4.2,2.1
"Southwark 026B","E01004001",718,16,702,187,111,2.4,4.2,2.2
"Southwark 026C","E01004019",912,15,897,249,141,2.5,4.3,2.3
"Southwark 026D","E01004064",808,14,794,215,133,2.4,4.1,2.1
"Southwark 026E","E01004068",829,17,812,238,143,2.4,4.0,2.1
"Southwark 027A","E01004045",601,9,592,207,133,2.5,4.1,2.1
"Southwark 027B","E01004047",607,18,589,191,110,2.6,4.2,2.3
"Southwark 027C","E01004048",645,12,633,106,67,2.5,4.8,2.6
"Southwark 027D","E01004049",507,13,494,150,96,2.6,4.3,2.3
"Southwark 027E","E01004051",613,9,604,78,37,2.1,4.5,2.4
"Southwark 028A","E01003953",980,45,935,251,93,2.1,4.3,2.2
"Southwark 028B","E01003955",822,29,793,108,57,2.2,4.6,2.4
"Southwark 028C","E01004015",690,21,669,108,50,2.2,4.8,2.4
"Southwark 028D","E01004021",1032,44,988,270,84,2.0,4.1,2.1
"Southwark 028E","E01004046",674,18,656,101,57,2.4,4.9,2.6
"Southwark 029A","E01004002",639,17,622,82,50,2.5,5.1,2.6
"Southwark 029B","E01004016",934,22,912,168,95,2.5,4.7,2.4
"Southwark 029C","E01004017",627,21,606,78,46,2.4,5.2,2.7
"Southwark 029D","E01004020",730,11,719,218,136,2.4,4.0,2.1
"Southwark 030A","E01003952",692,19,673,100,64,2.4,4.7,2.5
"Southwark 030B","E01003954",670,26,644,78,53,2.4,4.7,2.4
"Southwark 030C","E01003956",720,15,705,82,47,2.3,4.7,2.4
"Southwark 030D","E01004071",663,12,651,107,82,2.4,4.7,2.4
"Southwark 030E","E01004072",617,11,606,49,28,2.8,6.0,3.3
"Southwark 031A","E01004069",497,5,492,25,10,2.8,7.4,3.8
"Southwark 031B","E01004070",779,9,770,110,68,2.5,5.6,3.0
"Southwark 031C","E01004073",736,17,719,70,38,2.6,5.6,3.0
"Southwark 031D","E01004074",631,16,615,58,25,3.0,6.8,3.7
"Southwark 031E","E01004075",657,14,643,20,17,2.8,6.9,3.7
"Southwark 032A","E01003949",871,24,847,139,75,2.1,4.6,2.3
"Southwark 032B","E01003950",798,31,767,166,108,2.4,4.5,2.4
"Southwark 032C","E01003957",714,15,699,93,56,2.5,4.9,2.6
"Southwark 032D","E01003958",699,23,676,104,49,2.4,4.9,2.6
"Southwark 032E","E01004018",780,21,759,80,58,2.4,5.0,2.5
"Southwark 033A","E01003945",730,10,720,109,53,2.3,5.4,2.9
"Southwark 033B","E01003946",726,20,706,95,54,2.4,5.5,3.0
"Southwark 033C","E01003947",612,12,600,167,105,2.5,4.3,2.4
"Southwark 033D","E01003948",742,19,723,108,56,2.1,4.3,2.2
"Southwark 033E","E01003951",571,7,564,45,26,2.5,6.2,3.3
"Southwark 034A","E01003930",458,20,438,123,67,2.1,3.9,1.9
"Southwark 034B","E01003932",651,25,626,232,103,2.2,3.8,2.0
"Southwark 034C","E01003933",537,12,525,118,61,2.6,4.9,2.6
"Southwark 034D","E01032583",644,23,621,244,86,2.1,3.6,1.9
"Southwark 034E","E01032584",577,17,560,186,90,2.2,3.9,2.0
"Tower Hamlets 001A","E01004222",1048,18,1030,300,142,2.4,3.9,2.1
"Tower Hamlets 001B","E01004223",938,16,922,178,112,2.2,4.1,2.0
"Tower Hamlets 001C","E01004224",806,19,787,232,94,2.5,4.1,2.3
"Tower Hamlets 001D","E01004226",676,13,663,208,125,2.6,4.0,2.1
"Tower Hamlets 002A","E01004197",964,34,930,273,141,2.4,4.0,2.1
"Tower Hamlets 002B","E01004198",606,13,593,204,103,2.5,3.9,2.2
"Tower Hamlets 002C","E01004199",574,3,571,222,118,2.9,3.9,2.2
"Tower Hamlets 002D","E01004201",619,16,603,164,96,2.5,4.3,2.3
"Tower Hamlets 003A","E01004228",769,11,758,154,68,2.4,4.6,2.4
"Tower Hamlets 003B","E01004230",803,23,780,235,137,2.6,4.3,2.3
"Tower Hamlets 003C","E01004232",603,15,588,137,70,2.7,5.2,2.8
"Tower Hamlets 003D","E01004233",751,16,735,160,101,2.4,4.1,2.2
"Tower Hamlets 003E","E01004234",903,32,871,196,103,2.5,4.5,2.3
"Tower Hamlets 004A","E01004225",1147,101,1046,471,78,1.9,3.3,1.8
"Tower Hamlets 004C","E01004229",551,15,536,176,110,2.7,4.3,2.3
"Tower Hamlets 004D","E01004231",629,8,621,228,140,2.9,4.2,2.3
"Tower Hamlets 004E","E01032764",643,10,633,269,61,2.0,3.5,1.9
"Tower Hamlets 004F","E01032765",645,9,636,250,61,2.3,3.7,2.1
"Tower Hamlets 004G","E01032784",692,30,662,335,63,2.2,3.4,1.9
"Tower Hamlets 005A","E01004200",585,44,541,246,79,2.4,3.8,2.1
"Tower Hamlets 005B","E01004202",713,6,707,233,116,2.4,3.8,1.9
"Tower Hamlets 005C","E01004203",689,22,667,240,97,2.6,4.0,2.3
"Tower Hamlets 005D","E01004204",631,6,625,182,106,2.4,4.0,2.1
"Tower Hamlets 006A","E01004311",644,16,628,200,109,2.4,3.9,2.1
"Tower Hamlets 006B","E01004314",493,11,482,89,47,2.2,4.4,2.1
"Tower Hamlets 006C","E01004315",718,15,703,217,107,2.3,4.0,2.1
"Tower Hamlets 006D","E01004318",630,13,617,211,101,2.3,3.7,1.9
"Tower Hamlets 007A","E01004259",812,46,766,247,127,2.1,3.6,1.8
"Tower Hamlets 007B","E01004260",636,25,611,241,137,2.8,4.1,2.3
"Tower Hamlets 007C","E01004263",529,20,509,151,97,2.6,4.3,2.3
"Tower Hamlets 007D","E01004266",583,12,571,149,90,2.7,4.5,2.5
"Tower Hamlets 008A","E01004235",513,5,508,196,123,2.7,3.9,1.9
"Tower Hamlets 008B","E01004236",497,6,491,187,149,3.4,4.3,2.4
"Tower Hamlets 008C","E01004237",506,18,488,133,59,2.3,3.7,1.9
"Tower Hamlets 008D","E01004238",1058,21,1037,509,212,2.6,3.6,2.0
"Tower Hamlets 008E","E01004239",533,3,530,156,108,3.1,4.4,2.4
"Tower Hamlets 009A","E01004312",628,13,615,234,138,2.6,3.9,2.0
"Tower Hamlets 009B","E01004313",812,26,786,331,170,2.5,3.8,2.1
"Tower Hamlets 009C","E01004316",455,10,445,191,104,2.5,3.8,2.0
"Tower Hamlets 009D","E01004317",1193,45,1148,515,158,2.3,3.6,2.0
"Tower Hamlets 010A","E01004261",550,22,528,237,114,3.0,4.4,2.8
"Tower Hamlets 010B","E01004262",495,12,483,169,91,2.8,4.5,2.6
"Tower Hamlets 010C","E01004264",457,5,452,185,137,3.4,4.2,2.4
"Tower Hamlets 010E","E01032785",616,43,573,256,70,2.2,3.4,1.9
"Tower Hamlets 010F","E01032786",674,12,662,191,123,2.3,3.8,1.9
"Tower Hamlets 011A","E01004207",515,14,501,195,97,2.6,4.0,2.2
"Tower Hamlets 011B","E01004209",466,1,465,183,129,2.9,3.9,2.1
"Tower Hamlets 011D","E01004212",720,19,701,303,124,2.2,3.6,2.0
"Tower Hamlets 011F","E01032787",793,10,783,339,221,3.2,4.1,2.3
"Tower Hamlets 012A","E01004240",574,8,566,216,165,3.2,4.2,2.3
"Tower Hamlets 012B","E01004241",570,9,561,194,121,2.8,4.1,2.3
"Tower Hamlets 012C","E01004242",898,19,879,412,193,2.7,3.7,2.0
"Tower Hamlets 012D","E01004267",707,20,687,226,114,2.5,4.0,2.1
"Tower Hamlets 012E","E01004268",688,8,680,280,161,2.6,3.6,1.8
"Tower Hamlets 013A","E01004205",688,7,681,276,184,3.1,4.1,2.2
"Tower Hamlets 013B","E01004206",554,10,544,216,124,2.7,3.8,2.1
"Tower Hamlets 013C","E01004208",788,71,717,328,141,2.3,3.6,2.0
"Tower Hamlets 013D","E01004211",720,46,674,311,91,2.0,3.5,1.9
"Tower Hamlets 014A","E01004269",726,7,719,263,159,2.6,4.0,2.2
"Tower Hamlets 014B","E01004270",745,12,733,265,148,3.0,4.5,2.7
"Tower Hamlets 014C","E01004271",548,10,538,168,125,2.9,4.2,2.3
"Tower Hamlets 014D","E01004272",639,2,637,279,202,3.3,4.1,2.2
"Tower Hamlets 014E","E01004273",594,7,587,267,165,3.2,4.1,2.3
"Tower Hamlets 015A","E01004306",687,27,660,258,117,2.6,4.3,2.2
"Tower Hamlets 015B","E01004307",1014,55,959,385,104,1.8,3.4,1.7
"Tower Hamlets 015C","E01004308",504,3,501,175,107,2.9,4.5,2.4
"Tower Hamlets 015D","E01004309",902,20,882,387,206,2.7,3.9,2.1
"Tower Hamlets 015E","E01004310",793,31,762,353,171,2.4,3.5,1.8
"Tower Hamlets 016A","E01004283",756,17,739,275,174,2.8,4.1,2.3
"Tower Hamlets 016B","E01004287",854,18,836,278,176,2.5,3.9,2.0
"Tower Hamlets 016C","E01004289",670,20,650,225,121,2.8,4.3,2.4
"Tower Hamlets 016D","E01004290",575,19,556,196,82,2.2,3.9,2.0
"Tower Hamlets 017A","E01004322",502,17,485,195,87,2.3,3.5,1.8
"Tower Hamlets 017B","E01004323",480,4,476,169,106,3.1,4.4,2.4
"Tower Hamlets 017C","E01004324",485,10,475,210,154,3.2,4.2,2.4
"Tower Hamlets 017D","E01004326",623,17,606,235,131,2.3,3.7,1.9
"Tower Hamlets 018A","E01004245",433,5,428,182,117,3.6,4.4,2.4
"Tower Hamlets 018B","E01004246",747,17,730,259,122,2.6,4.1,2.3
"Tower Hamlets 018C","E01004248",441,7,434,168,97,3.0,4.2,2.3
"Tower Hamlets 018D","E01004249",758,9,749,223,129,2.7,4.1,2.2
"Tower Hamlets 019A","E01004284",884,7,877,372,140,2.6,3.7,2.0
"Tower Hamlets 019B","E01004285",658,10,648,285,204,3.5,4.3,2.4
"Tower Hamlets 019C","E01004286",817,17,800,237,152,2.9,4.3,2.3
"Tower Hamlets 019D","E01004288",525,16,509,197,149,3.0,4.2,2.2
"Tower Hamlets 020A","E01004243",614,21,593,213,151,2.9,4.2,2.3
"Tower Hamlets 020B","E01004244",686,12,674,203,90,2.6,4.2,2.3
"Tower Hamlets 020C","E01004247",714,19,695,249,139,2.7,4.1,2.3
"Tower Hamlets 020D","E01004250",866,20,846,286,184,2.7,4.0,2.2
"Tower Hamlets 021A","E01004319",595,5,590,270,161,3.2,4.0,2.3
"Tower Hamlets 021C","E01004321",711,11,700,320,140,2.5,3.6,2.0
"Tower Hamlets 021D","E01004325",1033,85,948,522,168,2.4,3.5,2.0
"Tower Hamlets 021E","E01032766",601,42,559,267,89,2.2,3.4,1.8
"Tower Hamlets 021F","E01032767",767,68,699,285,96,2.1,3.5,1.9
"Tower Hamlets 022A","E01004298",635,21,614,227,121,2.6,3.9,2.1
"Tower Hamlets 022B","E01004300",522,7,515,191,104,2.6,4.0,2.1
"Tower Hamlets 022C","E01004304",653,27,626,272,144,3.0,4.0,2.2
"Tower Hamlets 022D","E01004305",699,14,685,292,154,2.8,3.9,2.2
"Tower Hamlets 023A","E01004251",779,13,766,299,176,2.7,3.9,2.1
"Tower Hamlets 023B","E01004254",1046,45,1001,315,73,2.0,3.7,2.0
"Tower Hamlets 023C","E01004255",647,9,638,233,127,2.5,3.8,2.0
"Tower Hamlets 023D","E01004258",713,41,672,120,64,2.1,4.1,2.1
"Tower Hamlets 024A","E01004252",1107,9,1098,428,190,2.4,3.7,2.0
"Tower Hamlets 024B","E01004253",829,9,820,287,158,2.7,4.1,2.3
"Tower Hamlets 024C","E01004256",611,6,605,230,135,2.8,4.0,2.2
"Tower Hamlets 024D","E01004257",618,7,611,213,147,3.0,4.3,2.4
"Tower Hamlets 025B","E01004301",413,5,408,180,108,3.2,4.2,2.3
"Tower Hamlets 025C","E01004302",637,14,623,348,189,3.1,3.7,2.0
"Tower Hamlets 025D","E01004303",967,13,954,332,144,2.4,3.8,2.1
"Tower Hamlets 025E","E01032768",696,60,636,246,46,1.9,3.4,1.8
"Tower Hamlets 025F","E01032769",593,29,564,144,51,2.1,3.8,1.9
"Tower Hamlets 026A","E01004292",818,35,783,169,60,2.1,4.2,2.3
"Tower Hamlets 026B","E01004294",877,26,851,273,95,1.9,3.5,1.8
"Tower Hamlets 026C","E01004295",500,4,496,172,122,3.0,4.1,2.3
"Tower Hamlets 026D","E01004296",684,17,667,268,124,2.3,3.6,1.9
"Tower Hamlets 027A","E01004291",1051,52,999,322,83,1.8,3.5,1.7
"Tower Hamlets 027B","E01004293",1133,30,1103,232,63,1.9,3.8,1.9
"Tower Hamlets 027C","E01004297",909,53,856,199,73,2.0,3.8,2.0
"Tower Hamlets 028A","E01004215",1168,44,1124,450,154,2.4,3.7,2.1
"Tower Hamlets 028B","E01004219",851,28,823,407,182,2.7,3.7,2.0
"Tower Hamlets 028D","E01004221",802,19,783,203,103,2.3,4.0,2.1
"Tower Hamlets 028E","E01032776",631,20,611,264,70,1.7,3.0,1.5
"Tower Hamlets 028F","E01032777",514,8,506,183,74,2.2,3.6,1.9
"Tower Hamlets 028G","E01032778",564,27,537,193,57,2.0,3.5,1.8
"Tower Hamlets 028H","E01032779",565,29,536,161,65,1.9,3.4,1.7
"Tower Hamlets 028I","E01032780",647,78,569,130,52,2.1,3.9,2.0
"Tower Hamlets 030A","E01004214",665,7,658,199,119,2.5,3.9,2.0
"Tower Hamlets 030B","E01004216",737,12,725,165,65,2.2,4.0,2.1
"Tower Hamlets 030C","E01004217",779,24,755,165,84,2.2,4.1,2.1
"Tower Hamlets 030D","E01004218",731,19,712,130,72,2.4,4.4,2.4
"Tower Hamlets 031A","E01004274",654,15,639,203,125,3.0,4.5,2.7
"Tower Hamlets 031B","E01004275",768,29,739,196,74,2.4,4.2,2.4
"Tower Hamlets 031C","E01004276",996,65,931,226,74,2.0,3.8,2.0
"Tower Hamlets 031D","E01004281",831,80,751,190,86,2.1,3.8,2.0
"Tower Hamlets 031F","E01032775",600,27,573,168,54,1.8,3.4,1.7
"Tower Hamlets 031G","E01032783",661,49,612,180,75,2.1,3.8,2.0
"Tower Hamlets 032A","E01004280",769,24,745,196,99,2.4,4.0,2.2
"Tower Hamlets 032B","E01032770",572,5,567,221,71,2.1,3.5,1.9
"Tower Hamlets 032C","E01032772",544,14,530,247,61,2.1,3.3,1.8
"Tower Hamlets 032D","E01032773",852,13,839,503,100,1.8,2.8,1.6
"Tower Hamlets 032E","E01032774",583,4,579,242,89,2.2,3.5,1.9
"Tower Hamlets 033A","E01004277",898,49,849,207,39,1.8,3.7,1.8
"Tower Hamlets 033B","E01032771",546,17,529,193,32,2.0,3.5,1.9
"Tower Hamlets 033C","E01032781",771,34,737,235,67,2.0,3.5,1.8
"Tower Hamlets 033D","E01032782",776,22,754,498,91,2.1,2.9,1.7
"Wandsworth 001A","E01004560",959,50,909,216,76,2.0,4.2,2.2
"Wandsworth 001B","E01004566",821,43,778,92,43,1.9,4.3,2.1
"Wandsworth 001C","E01004582",976,38,938,169,83,2.2,4.6,2.5
"Wandsworth 001D","E01004583",876,27,849,194,66,1.9,4.2,2.1
"Wandsworth 002B","E01004562",754,14,740,202,110,2.3,4.1,2.3
"Wandsworth 002C","E01004563",879,64,815,313,125,2.2,3.8,2.0
"Wandsworth 002D","E01004564",820,19,801,153,86,2.2,4.2,2.1
"Wandsworth 002E","E01004567",982,16,966,388,178,2.4,3.8,2.0
"Wandsworth 002F","E01033098",629,41,588,329,44,1.6,2.9,1.6
"Wandsworth 002G","E01033100",612,32,580,182,94,2.0,3.7,1.9
"Wandsworth 002H","E01033132",619,41,578,308,60,1.7,3.0,1.5
"Wandsworth 003A","E01004539",800,11,789,292,165,2.6,4.1,2.2
"Wandsworth 003B","E01004540",1002,21,981,258,110,2.1,4.0,2.0
"Wandsworth 003C","E01004577",907,29,878,139,42,2.1,4.6,2.4
"Wandsworth 003D","E01004584",703,6,697,231,174,2.4,3.9,2.0
"Wandsworth 004B","E01004579",744,13,731,111,56,2.2,4.6,2.4
"Wandsworth 004C","E01004580",892,66,826,275,117,2.3,3.9,2.1
"Wandsworth 004D","E01004581",892,29,863,168,73,2.0,4.0,2.1
"Wandsworth 004E","E01033099",456,25,431,136,54,2.3,4.2,2.3
"Wandsworth 004F","E01033101",663,18,645,119,20,1.8,4.0,2.1
"Wandsworth 004G","E01033133",636,17,619,233,66,1.9,3.3,1.7
"Wandsworth 005A","E01004565",815,23,792,141,92,2.1,4.1,2.1
"Wandsworth 005B","E01004590",807,26,781,117,74,2.2,4.3,2.3
"Wandsworth 005C","E01004591",811,23,788,213,90,2.1,4.1,2.2
"Wandsworth 005D","E01004592",795,33,762,101,64,2.0,4.3,2.2
"Wandsworth 006A","E01004604",593,20,573,33,18,2.8,6.6,3.7
"Wandsworth 006B","E01004605",785,14,771,93,40,2.2,4.8,2.6
"Wandsworth 006C","E01004606",754,30,724,73,29,2.2,4.7,2.4
"Wandsworth 006D","E01004607",718,18,700,82,29,2.4,5.4,2.9
"Wandsworth 006E","E01004608",785,16,769,91,33,2.1,4.6,2.4
"Wandsworth 007A","E01004535",731,10,721,271,162,2.4,3.7,1.9
"Wandsworth 007B","E01004537",799,18,781,307,162,2.4,3.8,2.0
"Wandsworth 007C","E01004538",909,7,902,249,144,2.2,3.9,2.0
"Wandsworth 007D","E01004541",762,8,754,221,120,2.1,3.8,1.9
"Wandsworth 008A","E01004534",825,18,807,115,53,2.2,4.8,2.5
"Wandsworth 008B","E01004536",928,80,848,285,138,2.2,3.8,2.0
"Wandsworth 008C","E01004552",913,22,891,198,67,2.2,4.1,2.2
"Wandsworth 008D","E01004585",858,34,824,116,56,2.1,4.4,2.3
"Wandsworth 008E","E01004588",858,23,835,170,58,2.3,4.6,2.5
"Wandsworth 009A","E01004554",653,12,641,57,28,2.5,5.2,2.9
"Wandsworth 009B","E01004556",590,14,576,28,14,2.7,5.7,3.2
"Wandsworth 009C","E01004586",848,31,817,183,64,2.1,4.4,2.4
"Wandsworth 009D","E01004587",735,31,704,79,34,2.4,5.3,2.9
"Wandsworth 009E","E01004589",706,31,675,94,40,2.4,5.0,2.7
"Wandsworth 010A","E01004509",1122,30,1092,287,92,2.0,3.8,2.0
"Wandsworth 010B","E01004511",712,28,684,111,52,2.4,4.9,2.7
"Wandsworth 010C","E01004602",706,26,680,131,40,2.3,4.9,2.6
"Wandsworth 010E","E01004609",996,41,955,222,63,2.2,4.4,2.3
"Wandsworth 010F","E01033093",766,25,741,154,22,2.0,4.2,2.3
"Wandsworth 010G","E01033135",475,15,460,46,10,2.3,4.9,2.7
"Wandsworth 011A","E01004506",955,31,924,227,54,2.0,4.2,2.2
"Wandsworth 011B","E01004638",519,5,514,22,10,2.8,7.4,4.0
"Wandsworth 011C","E01004639",783,31,752,163,52,2.2,4.7,2.4
"Wandsworth 011D","E01004640",797,10,787,113,40,2.2,5.1,2.6
"Wandsworth 011E","E01004641",818,22,796,95,36,2.3,5.1,2.7
"Wandsworth 012A","E01004508",986,23,963,203,64,2.0,4.2,2.1
"Wandsworth 012B","E01004510",917,25,892,203,78,2.1,4.3,2.2
"Wandsworth 012C","E01004514",799,16,783,107,41,2.1,4.6,2.5
"Wandsworth 012D","E01004515",739,6,733,163,89,2.2,4.1,2.1
"Wandsworth 012E","E01004551",884,31,853,231,93,2.0,3.8,1.9
"Wandsworth 013A","E01004568",458,5,453,133,82,2.3,3.8,1.9
